Input File,Rank Method,Feature Selection,Model Type,Average Type,Number of Features,Removed Features,Best K-Fold F1 Score,Final Test Accuracy,Final Test Precision,Final Test Recall,Final Test F1 Score,Final Test FPR,Final Test FNR,Ranking Time Taken,Feature Selection Time Taken,Evaluation Time Taken,Total Time Taken
function,WFI-RF,rem_5,XGB,macro,10,"system_mode, pressure_measurement, address, control_scheme, solenoid",0.9097098156815534,0.9810841332580463,0.9324152018243853,0.8703902596255673,0.8980076272006756,0.0034745762711864405,0.2372448979591837,6.009905099868774,0.7496421337127686,42.85209679603577,49.61164402961731
function,WFI-RF,rem_5,XGB,weighted,10,"system_mode, pressure_measurement, address, control_scheme, solenoid",0.9833086081783847,0.9810841332580463,0.9803187505345768,0.9810841332580463,0.9803978286567658,0.0034745762711864405,0.2372448979591837,6.009905099868774,0.7496421337127686,42.42660140991211,49.18614864349365
function,WFI-RF,rem_6,XGB,micro,9,"system_mode, pressure_measurement, address, pump, control_scheme, solenoid",0.978913005117346,0.9765316205533597,0.9765316205533597,0.9765316205533597,0.9765316205533597,0.00538135593220339,0.34311224489795916,6.009905099868774,0.7496421337127686,44.36501383781433,51.124561071395874
function,WFI-RF,rem_6,XGB,macro,9,"system_mode, pressure_measurement, address, pump, control_scheme, solenoid",0.8875035940743278,0.9765316205533597,0.9196845108780539,0.8473509185724722,0.8786087756292807,0.00538135593220339,0.34311224489795916,6.009905099868774,0.7496421337127686,44.30097222328186,51.0605194568634
function,WFI-RF,rem_6,XGB,weighted,9,"system_mode, pressure_measurement, address, pump, control_scheme, solenoid",0.9776468969538974,0.9765316205533597,0.9752230958540884,0.9765316205533597,0.9754351044769592,0.00538135593220339,0.34311224489795916,6.009905099868774,0.7496421337127686,44.5894136428833,51.348960876464844
function,WFI-RF,rem_7,XGB,micro,8,"rate, system_mode, pressure_measurement, address, pump, control_scheme, solenoid",0.9722075172048703,0.9700028232636928,0.9700028232636928,0.9700028232636928,0.9700028232636928,0.005296610169491525,0.35331632653061223,6.009905099868774,0.7496421337127686,36.79121971130371,43.550766944885254
function,WFI-RF,rem_7,XGB,macro,8,"rate, system_mode, pressure_measurement, address, pump, control_scheme, solenoid",0.8787590719721029,0.9700381140598532,0.9144491708499968,0.832289760509865,0.8674228386214923,0.0051271186440677964,0.3622448979591837,6.009905099868774,0.7496421337127686,36.88627076148987,43.64581799507141
function,WFI-RF,rem_7,XGB,weighted,8,"rate, system_mode, pressure_measurement, address, pump, control_scheme, solenoid",0.9706466500981454,0.9700028232636928,0.9684717721558904,0.9700028232636928,0.9686050176143044,0.005296610169491525,0.35331632653061223,6.009905099868774,0.7496421337127686,37.05215406417847,43.81170129776001
function,WFI-RF,rem_8,XGB,micro,7,"rate, system_mode, pressure_measurement, address, pump, control_scheme, deadband, solenoid",0.9614434445032645,0.9609683794466403,0.9609683794466403,0.9609683794466403,0.9609683794466403,0.0050423728813559325,0.4387755102040816,6.009905099868774,0.7496421337127686,33.80021691322327,40.55976414680481
function,WFI-RF,rem_8,XGB,macro,7,"rate, system_mode, pressure_measurement, address, pump, control_scheme, deadband, solenoid",0.837201498675504,0.9603331451157539,0.8991202609264531,0.7871422454760625,0.8311647743680953,0.00576271186440678,0.4362244897959184,6.009905099868774,0.7496421337127686,33.82752251625061,40.58706974983215
function,WFI-RF,rem_8,XGB,weighted,7,"rate, system_mode, pressure_measurement, address, pump, control_scheme, deadband, solenoid",0.9585767602671402,0.9609683794466403,0.9585945125846235,0.9609683794466403,0.958444607658011,0.0050423728813559325,0.4387755102040816,6.009905099868774,0.7496421337127686,33.706857204437256,40.4664044380188
function,WFI-RF,rem_9,XGB,micro,6,"rate, system_mode, pressure_measurement, gain, address, pump, control_scheme, deadband, solenoid",0.9471548301720335,0.9461109542631282,0.9461109542631282,0.9461109542631282,0.9461109542631282,0.005211864406779661,0.5216836734693877,6.009905099868774,0.7496421337127686,35.28430247306824,42.04384970664978
function,WFI-RF,rem_9,XGB,macro,6,"rate, system_mode, pressure_measurement, gain, address, pump, control_scheme, deadband, solenoid",0.7906871838409342,0.9457580463015246,0.8819798741233137,0.723692593113324,0.7769297753506731,0.005169491525423729,0.5267857142857143,6.009905099868774,0.7496421337127686,35.65702724456787,42.416574478149414
function,WFI-RF,rem_9,XGB,weighted,6,"rate, system_mode, pressure_measurement, gain, address, pump, control_scheme, deadband, solenoid",0.9422369045046558,0.9461109542631282,0.9419264768618284,0.9461109542631282,0.9409232742781685,0.005211864406779661,0.5216836734693877,6.009905099868774,0.7496421337127686,35.55231738090515,42.311864614486694
function,WFI-RF,rem_10,XGB,micro,5,"rate, system_mode, pressure_measurement, setpoint, gain, address, pump, control_scheme, deadband, solenoid",0.933480370533745,0.9311829474872954,0.9311829474872954,0.9311829474872954,0.9311829474872954,0.003898305084745763,0.7181122448979592,6.009905099868774,0.7496421337127686,35.037665367126465,41.79721260070801
function,WFI-RF,rem_10,XGB,macro,5,"rate, system_mode, pressure_measurement, setpoint, gain, address, pump, control_scheme, deadband, solenoid",0.7209245161435831,0.9311829474872954,0.8479185923007933,0.6561615243532419,0.7108991625396243,0.003898305084745763,0.7181122448979592,6.009905099868774,0.7496421337127686,35.28374981880188,42.04329705238342
function,WFI-RF,rem_10,XGB,weighted,5,"rate, system_mode, pressure_measurement, setpoint, gain, address, pump, control_scheme, deadband, solenoid",0.9234246730894228,0.9311829474872954,0.9236988196854342,0.9311829474872954,0.9202799746011977,0.003898305084745763,0.7181122448979592,6.009905099868774,0.7496421337127686,35.27998161315918,42.03952884674072
function,WFI-RF,rem_11,XGB,micro,4,"rate, system_mode, pressure_measurement, setpoint, gain, address, reset_rate, pump, control_scheme, deadband, solenoid",0.9116012351124835,0.9060206098249577,0.9060206098249577,0.9060206098249577,0.9060206098249577,0.0,1.0,6.009905099868774,0.7496421337127686,24.675065994262695,31.43461322784424
function,WFI-RF,rem_11,XGB,macro,4,"rate, system_mode, pressure_measurement, setpoint, gain, address, reset_rate, pump, control_scheme, deadband, solenoid",0.5497695192087925,0.9060206098249577,0.6432719941716268,0.5248908243050064,0.5386494085507914,0.0,1.0,6.009905099868774,0.7496421337127686,24.814817905426025,31.57436513900757
function,WFI-RF,rem_11,XGB,weighted,4,"rate, system_mode, pressure_measurement, setpoint, gain, address, reset_rate, pump, control_scheme, deadband, solenoid",0.8796602719768666,0.9060206098249577,0.8790363149279511,0.9060206098249577,0.8711918808107874,0.0,1.0,6.009905099868774,0.7496421337127686,24.93610191345215,31.69564914703369
function,WFI-RF,rem_12,XGB,micro,3,"rate, system_mode, pressure_measurement, setpoint, gain, address, reset_rate, pump, control_scheme, cycle_time, deadband, solenoid",0.8974766190224105,0.8930688876341051,0.8930688876341051,0.8930688876341051,0.8930688876341051,0.0,1.0,6.009905099868774,0.7496421337127686,6.033344745635986,12.79289197921753
