Input File,Rank Method,Feature Selection,Model Type,Average Type,Number of Features,Removed Features,Accuracy,Precision,Recall,F1 Score,FPR,FNR,Ranking Time Taken,Feature Selection Time Taken,Evaluation Time Taken,Total Time Taken
function,WFI-RF,rem_1,RF,macro,14,pressure_measurement,0.9876481100115365,0.9518098172693519,0.9065434803330483,0.9271965283311301,0.0013057530604704986,0.11946231858816517,5.11919641494751,3.968240737915039,37.462207317352295,46.549644470214844
function,WFI-RF,rem_1,RF,weighted,14,pressure_measurement,0.9876481100115365,0.9873438924340373,0.9876481100115365,0.9873208635276033,0.0013057530604704986,0.11946231858816517,5.11919641494751,3.968240737915039,37.28117823600769,46.36861538887024
function,WFI-RF,rem_2,RF,micro,13,"address, pressure_measurement",0.9876833997180219,0.9876833997180219,0.9876833997180219,0.9876833997180219,0.0012951328395699037,0.11853570895196505,5.11919641494751,3.968240737915039,38.797298192977905,47.884735345840454
function,WFI-RF,rem_2,RF,macro,13,"address, pressure_measurement",0.9876833997180219,0.9518058916743867,0.9066320131315981,0.9272401557095431,0.0012951328395699037,0.11853570895196505,5.11919641494751,3.968240737915039,38.53339409828186,47.62083125114441
function,WFI-RF,rem_2,RF,weighted,13,"address, pressure_measurement",0.9876833997180219,0.9873809741823717,0.9876833997180219,0.9873577059886725,0.0012951328395699037,0.11853570895196505,5.11919641494751,3.968240737915039,38.77452993392944,47.86196708679199
function,WFI-RF,rem_3,RF,micro,12,"address, solenoid, pressure_measurement",0.9854776984887392,0.9854776984887392,0.9854776984887392,0.9854776984887392,0.002709188398744795,0.14208905578260456,5.11919641494751,3.968240737915039,39.15929412841797,48.24673128128052
function,WFI-RF,rem_3,RF,macro,12,"address, solenoid, pressure_measurement",0.9854776984887392,0.9436571946071342,0.8921826292445001,0.9145490976973342,0.002709188398744795,0.14208905578260456,5.11919641494751,3.968240737915039,39.11798334121704,48.20542049407959
function,WFI-RF,rem_3,RF,weighted,12,"address, solenoid, pressure_measurement",0.9854776984887392,0.9849924815809041,0.9854776984887392,0.9850068932779006,0.002709188398744795,0.14208905578260456,5.11919641494751,3.968240737915039,38.85997939109802,47.94741654396057
function,WFI-RF,rem_4,RF,micro,11,"control_scheme, address, solenoid, pressure_measurement",0.9847630470996194,0.9847630470996194,0.9847630470996194,0.9847630470996194,0.0028686789891103877,0.1492553029580804,5.11919641494751,3.968240737915039,41.08760046958923,50.17503762245178
function,WFI-RF,rem_4,RF,macro,11,"control_scheme, address, solenoid, pressure_measurement",0.9847630470996194,0.9416536618365235,0.8850424526906042,0.9091566610009452,0.0028686789891103877,0.1492553029580804,5.11919641494751,3.968240737915039,40.88283824920654,49.97027540206909
function,WFI-RF,rem_4,RF,weighted,11,"control_scheme, address, solenoid, pressure_measurement",0.9847630470996194,0.984189191094741,0.9847630470996194,0.9842055245599951,0.0028686789891103877,0.1492553029580804,5.11919641494751,3.968240737915039,40.54719805717468,49.63463521003723
function,WFI-RF,rem_5,RF,micro,10,"control_scheme, pressure_measurement, address, solenoid, system_mode",0.981851531502584,0.981851531502584,0.981851531502584,0.981851531502584,0.0039838512728985346,0.21082952428355423,5.11919641494751,3.968240737915039,42.36012887954712,51.44756603240967
function,WFI-RF,rem_5,RF,macro,10,"control_scheme, pressure_measurement, address, solenoid, system_mode",0.981851531502584,0.9348492934980971,0.8719381671123475,0.8983714278383182,0.0039838512728985346,0.21082952428355423,5.11919641494751,3.968240737915039,42.456719636917114,51.54415678977966
function,WFI-RF,rem_5,RF,weighted,10,"control_scheme, pressure_measurement, address, solenoid, system_mode",0.981851531502584,0.9811147656614271,0.981851531502584,0.9811456391561902,0.0039838512728985346,0.21082952428355423,5.11919641494751,3.968240737915039,42.33374571800232,51.42118287086487
function,WFI-RF,rem_6,RF,micro,9,"pump, control_scheme, pressure_measurement, address, solenoid, system_mode",0.9759843657967963,0.9759843657967963,0.9759843657967963,0.9759843657967963,0.005959951840469722,0.3472245214299005,5.11919641494751,3.968240737915039,44.20294380187988,53.29038095474243
function,WFI-RF,rem_6,RF,macro,9,"pump, control_scheme, pressure_measurement, address, solenoid, system_mode",0.9759843657967963,0.9155323725808092,0.8429594672347488,0.8730740643796739,0.005959951840469722,0.3472245214299005,5.11919641494751,3.968240737915039,43.70846247673035,52.795899629592896
