Input File,Rank Method,Feature Selection,Model Type,Average Type,Number of Features,Removed Features,Accuracy,Precision,Recall,F1 Score,FPR,FNR,Ranking Time Taken,Feature Selection Time Taken,Evaluation Time Taken,Total Time Taken
function_train_80.csv,SP,RFE,XGB,micro,12,"address, control_scheme, length",0.829411532838295,0.829411532838295,0.829411532838295,0.829411532838295,0.00043502048996174115,0.0,0.1253678798675537,9.355175256729126,0.16224169731140137,9.642784833908081
function_train_80.csv,SP,RFE,XGB,macro,12,"address, control_scheme, length",0.829411532838295,0.12351082283720152,0.12483799772858295,0.124170799168969,0.00043502048996174115,0.0,0.1253678798675537,9.355175256729126,0.1758131980895996,9.65635633468628
function_train_80.csv,SP,RFE,XGB,weighted,12,"address, control_scheme, length",0.829411532838295,0.8205911871858627,0.829411532838295,0.82497735372795,0.00043502048996174115,0.0,0.1253678798675537,9.355175256729126,0.16954922676086426,9.650092363357544
function_train_80.csv,SP,SPFS,XGB,micro,15,,0.8294203535135468,0.8294203535135468,0.8294203535135468,0.8294203535135468,0.00033944638509048324,0.0,0.1253678798675537,7.830647706985474,0.18500065803527832,8.141016244888306
function_train_80.csv,SP,SPFS,XGB,macro,15,,0.8294203535135468,0.12351223179349544,0.12483936493327805,0.1241721741480721,0.00033944638509048324,0.0,0.1253678798675537,7.830647706985474,0.1886434555053711,8.144659042358398
function_train_80.csv,SP,SPFS,XGB,weighted,15,,0.8294203535135468,0.820600374018807,0.8294203535135468,0.8249862700735726,0.00033944638509048324,0.0,0.1253678798675537,7.830647706985474,0.1794872283935547,8.135502815246582
function_train_80.csv,SP,None,XGB,micro,15,,0.8296409178764155,0.8296409178764155,0.8296409178764155,0.8296409178764155,0.0002548344045673979,0.0,0.1253678798675537,0.7780683040618896,0.18190240859985352,1.0853385925292969
function_train_80.csv,SP,None,XGB,macro,15,,0.8296409178764155,0.12361310800928434,0.12487250862604504,0.12423957875748384,0.0002548344045673979,0.0,0.1253678798675537,0.7780683040618896,0.18953824043273926,1.0929744243621826
function_train_80.csv,SP,None,XGB,weighted,15,,0.8296409178764155,0.8212747023189623,0.8296409178764155,0.8254363583957625,0.0002548344045673979,0.0,0.1253678798675537,0.7780683040618896,0.1832592487335205,1.0866954326629639
function_train_80.csv,SP,rem_1,XGB,micro,14,control_scheme,0.8293497733221897,0.8293497733221897,0.8293497733221897,0.8293497733221897,0.00038200043103805574,0.0,0.1253678798675537,0.7780683040618896,0.1764082908630371,1.0798444747924805
function_train_80.csv,SP,rem_1,XGB,macro,14,control_scheme,0.8293497733221897,0.12354840647976226,0.12482872005779251,0.12418518546217439,0.00038200043103805574,0.0,0.1253678798675537,0.7780683040618896,0.17372441291809082,1.0771605968475342
function_train_80.csv,SP,rem_1,XGB,weighted,14,control_scheme,0.8293497733221897,0.8208410629646714,0.8293497733221897,0.8250729634928801,0.00038200043103805574,0.0,0.1253678798675537,0.7780683040618896,0.1656186580657959,1.0690548419952393
function_train_80.csv,SP,rem_2,XGB,micro,13,"control_scheme, solenoid",0.8292350773003907,0.8292350773003907,0.8292350773003907,0.8292350773003907,0.0006369882182072083,0.0,0.1253678798675537,0.7780683040618896,0.1648705005645752,1.0683066844940186
function_train_80.csv,SP,rem_2,XGB,macro,13,"control_scheme, solenoid",0.8292350773003907,0.12333728796555551,0.12481144627453684,0.12406984263932833,0.0006369882182072083,0.0,0.1253678798675537,0.7780683040618896,0.16765213012695312,1.0710883140563965
function_train_80.csv,SP,rem_2,XGB,weighted,13,"control_scheme, solenoid",0.8292350773003907,0.8194368548515044,0.8292350773003907,0.8243058803306177,0.0006369882182072083,0.0,0.1253678798675537,0.7780683040618896,0.16509485244750977,1.0685310363769531
function_train_80.csv,SP,rem_3,XGB,micro,12,"control_scheme, solenoid, length",0.8292350749652314,0.8292350749652314,0.8292350749652314,0.8292350749652314,0.0005414782733513331,0.0,0.1253678798675537,0.7780683040618896,0.1652204990386963,1.0686566829681396
function_train_80.csv,SP,rem_3,XGB,macro,12,"control_scheme, solenoid, length",0.8292350749652314,0.12336537455889045,0.12481143488913686,0.12408410029750941,0.0005414782733513331,0.0,0.1253678798675537,0.7780683040618896,0.16511178016662598,1.0685479640960693
function_train_80.csv,SP,rem_3,XGB,weighted,12,"control_scheme, solenoid, length",0.8292350749652314,0.8196246164542706,0.8292350749652314,0.8244012299535786,0.0005414782733513331,0.0,0.1253678798675537,0.7780683040618896,0.17158150672912598,1.0750176906585693
function_train_80.csv,SP,rem_4,XGB,micro,11,"pump, control_scheme, solenoid, length",0.829032152731253,0.829032152731253,0.829032152731253,0.829032152731253,0.0009770136175374221,0.0,0.1253678798675537,0.7780683040618896,0.16760945320129395,1.0710456371307373
function_train_80.csv,SP,rem_4,XGB,macro,11,"pump, control_scheme, solenoid, length",0.829032152731253,0.12285724352112397,0.12478089526513514,0.1238114166581212,0.0009770136175374221,0.0,0.1253678798675537,0.7780683040618896,0.15991902351379395,1.0633552074432373
function_train_80.csv,SP,rem_4,XGB,weighted,11,"pump, control_scheme, solenoid, length",0.829032152731253,0.8162469313110237,0.829032152731253,0.8225886588816078,0.0009770136175374221,0.0,0.1253678798675537,0.7780683040618896,0.16350960731506348,1.0669457912445068
function_train_80.csv,SP,rem_5,XGB,micro,10,"crc_rate, pump, solenoid, length, control_scheme",0.8290145012617254,0.8290145012617254,0.8290145012617254,0.8290145012617254,0.0009135565229565592,0.0,0.1253678798675537,0.7780683040618896,0.15755105018615723,1.0609872341156006
