Input File,Rank Method,Feature Selection,Model Type,Average Type,Number of Features,Removed Features,Best K-Fold F1 Score,Accuracy,Precision,Recall,F1 Score,FPR,FNR,Ranking Time,Feature Selection Time,Evaluation Time,Total Time
response,SP,rem_6,RF,micro,6,"system_mode, setpoint, solenoid, crc_rate, pressure_measurement, gain",0.8192,0.8203,0.8203,0.8203,0.8203,0.0273,0.3783,0.0903,6.7055,30.8413,37.6371
response,SP,rem_6,RF,weighted,6,"system_mode, setpoint, solenoid, crc_rate, pressure_measurement, gain",0.8104,0.8203,0.8128,0.8203,0.8124,0.0273,0.3783,0.0903,6.7055,31.4412,38.237
response,SP,rem_7,RF,micro,5,"system_mode, setpoint, control_scheme, solenoid, crc_rate, pressure_measurement, gain",0.8099,0.8116,0.8116,0.8116,0.8116,0.0252,0.407,0.0903,6.7055,33.1469,39.9427
response,SP,rem_7,RF,weighted,5,"system_mode, setpoint, control_scheme, solenoid, crc_rate, pressure_measurement, gain",0.7987,0.8116,0.803,0.8116,0.8019,0.0252,0.407,0.0903,6.7055,34.1153,40.9111
response,SP,rem_8,RF,micro,4,"system_mode, pump, setpoint, control_scheme, solenoid, crc_rate, pressure_measurement, gain",0.8008,0.8001,0.8001,0.8001,0.8001,0.0286,0.4466,0.0903,6.7055,35.6885,42.4843
response,SP,rem_8,RF,weighted,4,"system_mode, pump, setpoint, control_scheme, solenoid, crc_rate, pressure_measurement, gain",0.7886,0.8001,0.7899,0.8001,0.7885,0.0286,0.4466,0.0903,6.7055,35.2496,42.0454
response,SP,rem_9,RF,micro,3,"system_mode, pump, setpoint, control_scheme, solenoid, crc_rate, cycle_time, pressure_measurement, gain",0.7843,0.7819,0.7819,0.7819,0.7819,0.0257,0.5323,0.0903,6.7055,28.8419,35.6377
response,SP,rem_9,RF,weighted,3,"system_mode, pump, setpoint, control_scheme, solenoid, crc_rate, cycle_time, pressure_measurement, gain",0.7689,0.7826,0.7697,0.7826,0.7675,0.0295,0.5125,0.0903,6.7055,27.5494,34.3452
response,SP,rem_10,RF,micro,2,"system_mode, pump, deadband, setpoint, control_scheme, solenoid, crc_rate, cycle_time, pressure_measurement, gain",0.7364,0.7325,0.7325,0.7325,0.7325,0.0141,0.7406,0.0903,6.7055,38.6693,45.4651
response,SP,rem_10,RF,weighted,2,"system_mode, pump, deadband, setpoint, control_scheme, solenoid, crc_rate, cycle_time, pressure_measurement, gain",0.6919,0.7325,0.7059,0.7325,0.6853,0.0141,0.7406,0.0903,6.7055,38.6365,45.4323
response,SP,rem_11,RF,micro,1,"system_mode, pump, deadband, setpoint, control_scheme, solenoid, crc_rate, cycle_time, pressure_measurement, rate, gain",0.7326,0.7283,0.7283,0.7283,0.7283,0.0117,0.7617,0.0903,6.7055,41.9597,48.7555
response,SP,rem_11,RF,weighted,1,"system_mode, pump, deadband, setpoint, control_scheme, solenoid, crc_rate, cycle_time, pressure_measurement, rate, gain",0.6828,0.7283,0.7,0.7283,0.6761,0.0117,0.7617,0.0903,6.7055,41.4609,48.2567
response,WFI-XGB,RFE,XGB,micro,9,"rate, solenoid, crc_rate",0.9673,0.9673,0.9673,0.9673,0.9673,0.0009,0.0869,0.9488,11.2243,7.8548,20.0278
response,WFI-XGB,RFE,XGB,weighted,9,"rate, solenoid, crc_rate",0.9668,0.9673,0.9671,0.9673,0.9668,0.0009,0.0869,0.9488,11.2243,7.9466,20.1197
response,WFI-XGB,SPFS,XGB,micro,12,,0.9679,0.9662,0.9662,0.9662,0.9662,0.0006,0.0875,0.9488,13.1396,9.9538,24.0423
response,WFI-XGB,SPFS,XGB,weighted,12,,0.9672,0.9662,0.966,0.9662,0.9656,0.0006,0.0875,0.9488,13.1396,10.2255,24.314
response,WFI-XGB,None,XGB,micro,12,,0.9679,0.9662,0.9662,0.9662,0.9662,0.0006,0.0875,0.9488,1.1552,11.1806,13.2845
response,WFI-XGB,None,XGB,weighted,12,,0.9672,0.9662,0.966,0.9662,0.9656,0.0006,0.0875,0.9488,1.1552,9.7922,11.8962
response,WFI-XGB,rem_1,XGB,micro,11,crc_rate,0.9689,0.9658,0.9658,0.9658,0.9658,0.0008,0.0837,0.9488,1.1552,9.7344,11.8383
response,WFI-XGB,rem_1,XGB,weighted,11,crc_rate,0.9685,0.9658,0.9656,0.9658,0.9653,0.0008,0.0837,0.9488,1.1552,9.9642,12.0681
response,WFI-XGB,rem_2,XGB,micro,10,"rate, crc_rate",0.9691,0.9695,0.9695,0.9695,0.9695,0.0008,0.0831,0.9488,1.1552,8.7906,10.8945
response,WFI-XGB,rem_2,XGB,weighted,10,"rate, crc_rate",0.9687,0.9695,0.9693,0.9695,0.969,0.0008,0.0831,0.9488,1.1552,8.7832,10.8872
response,WFI-XGB,rem_3,XGB,micro,9,"rate, gain, crc_rate",0.9664,0.9639,0.9639,0.9639,0.9639,0.0006,0.0958,0.9488,1.1552,8.4215,10.5254
response,WFI-XGB,rem_3,XGB,weighted,9,"rate, gain, crc_rate",0.9659,0.9639,0.9636,0.9639,0.9632,0.0006,0.0958,0.9488,1.1552,8.7025,10.8065
response,WFI-XGB,rem_4,XGB,micro,8,"rate, pump, gain, crc_rate",0.9646,0.9627,0.9627,0.9627,0.9627,0.001,0.0927,0.9488,1.1552,8.3393,10.4433
response,WFI-XGB,rem_4,XGB,weighted,8,"rate, pump, gain, crc_rate",0.964,0.9627,0.9622,0.9627,0.962,0.001,0.0927,0.9488,1.1552,7.8513,9.9553
response,WFI-XGB,rem_5,XGB,micro,7,"pump, solenoid, crc_rate, rate, gain",0.9637,0.961,0.961,0.961,0.961,0.0007,0.0927,0.9488,1.1552,7.9779,10.0818
response,WFI-XGB,rem_5,XGB,weighted,7,"pump, solenoid, crc_rate, rate, gain",0.963,0.961,0.9605,0.961,0.9602,0.0007,0.0927,0.9488,1.1552,8.227,10.3309
response,WFI-XGB,rem_6,XGB,micro,6,"pump, control_scheme, solenoid, crc_rate, rate, gain",0.9648,0.9598,0.9598,0.9598,0.9598,0.0009,0.0997,0.9488,1.1552,7.5295,9.6334
response,WFI-XGB,rem_6,XGB,weighted,6,"pump, control_scheme, solenoid, crc_rate, rate, gain",0.9641,0.9598,0.9593,0.9598,0.959,0.0009,0.0997,0.9488,1.1552,7.4684,9.5724
response,WFI-XGB,rem_7,XGB,micro,5,"pump, deadband, control_scheme, solenoid, crc_rate, rate, gain",0.957,0.9542,0.9542,0.9542,0.9542,0.0005,0.1118,0.9488,1.1552,7.3716,9.4755
response,WFI-XGB,rem_7,XGB,weighted,5,"pump, deadband, control_scheme, solenoid, crc_rate, rate, gain",0.956,0.9542,0.9535,0.9542,0.9531,0.0005,0.1118,0.9488,1.1552,7.4741,9.5781
response,WFI-XGB,rem_8,XGB,micro,4,"pump, deadband, control_scheme, solenoid, crc_rate, reset_rate, rate, gain",0.9428,0.9396,0.9396,0.9396,0.9396,0.0003,0.1208,0.9488,1.1552,6.8135,8.9175
response,WFI-XGB,rem_8,XGB,weighted,4,"pump, deadband, control_scheme, solenoid, crc_rate, reset_rate, rate, gain",0.941,0.9396,0.9377,0.9396,0.9376,0.0003,0.1208,0.9488,1.1552,6.7616,8.8656
response,WFI-XGB,rem_9,XGB,micro,3,"pump, deadband, control_scheme, solenoid, crc_rate, cycle_time, reset_rate, rate, gain",0.9268,0.9259,0.9259,0.9259,0.9259,0.0009,0.1361,0.9488,1.1552,6.8003,8.9043
response,WFI-XGB,rem_9,XGB,weighted,3,"pump, deadband, control_scheme, solenoid, crc_rate, cycle_time, reset_rate, rate, gain",0.924,0.9259,0.9233,0.9259,0.9234,0.0009,0.1361,0.9488,1.1552,6.6107,8.7147
response,WFI-XGB,rem_10,XGB,micro,2,"pump, deadband, setpoint, control_scheme, solenoid, crc_rate, cycle_time, reset_rate, rate, gain",0.8595,0.8564,0.8564,0.8564,0.8564,0.0003,0.2147,0.9488,1.1552,6.3793,8.4833
response,WFI-XGB,rem_10,XGB,weighted,2,"pump, deadband, setpoint, control_scheme, solenoid, crc_rate, cycle_time, reset_rate, rate, gain",0.8492,0.8564,0.8482,0.8564,0.8463,0.0003,0.2147,0.9488,1.1552,6.3328,8.4368
response,WFI-XGB,rem_11,XGB,micro,1,"system_mode, pump, deadband, setpoint, control_scheme, solenoid, crc_rate, cycle_time, reset_rate, rate, gain",0.8536,0.8487,0.8487,0.8487,0.8487,0,0.2351,0.9488,1.1552,5.9088,8.0127
response,WFI-XGB,rem_11,XGB,weighted,1,"system_mode, pump, deadband, setpoint, control_scheme, solenoid, crc_rate, cycle_time, reset_rate, rate, gain",0.8415,0.8487,0.8418,0.8487,0.8353,0,0.2351,0.9488,1.1552,5.9567,8.0607
response,WFI-XGB,RFE,RF,micro,10,"solenoid, crc_rate",0.9806,0.9802,0.9802,0.9802,0.9802,0.0016,0.0383,0.9488,76.1678,53.1719,130.2886
response,WFI-XGB,RFE,RF,weighted,10,"solenoid, crc_rate",0.9804,0.9802,0.9801,0.9802,0.9801,0.0016,0.0383,0.9488,76.1678,55.1875,132.3042
response,WFI-XGB,SPFS,RF,micro,12,,0.9766,0.9746,0.9746,0.9746,0.9746,0.0007,0.0645,0.9488,66.6121,60.256,127.8169
response,WFI-XGB,SPFS,RF,weighted,12,,0.9763,0.9746,0.9745,0.9746,0.9743,0.0007,0.0645,0.9488,66.6121,61.808,129.3689
response,WFI-XGB,None,RF,micro,12,,0.9769,0.9766,0.9766,0.9766,0.9766,0.001,0.0633,0.9488,7.0762,62.8809,70.9059
response,WFI-XGB,None,RF,weighted,12,,0.9767,0.9766,0.9766,0.9766,0.9763,0.001,0.0633,0.9488,7.0762,62.7379,70.7629
response,WFI-XGB,rem_1,RF,micro,11,crc_rate,0.9806,0.9798,0.9798,0.9798,0.9798,0.0015,0.0396,0.9488,7.0762,61.0389,69.0639
response,WFI-XGB,rem_1,RF,weighted,11,crc_rate,0.9804,0.9798,0.9797,0.9798,0.9797,0.0015,0.0396,0.9488,7.0762,54.7158,62.7408
response,WFI-XGB,rem_2,RF,micro,10,"rate, crc_rate",0.9806,0.9811,0.9811,0.9811,0.9811,0.0019,0.0377,0.9488,7.0762,57.8462,65.8712
response,WFI-XGB,rem_2,RF,weighted,10,"rate, crc_rate",0.9804,0.9811,0.981,0.9811,0.981,0.0019,0.0377,0.9488,7.0762,56.5076,64.5326
response,WFI-XGB,rem_3,RF,micro,9,"rate, gain, crc_rate",0.9798,0.9795,0.9795,0.9795,0.9795,0.002,0.0435,0.9488,7.0762,60.4816,68.5066
response,WFI-XGB,rem_3,RF,weighted,9,"rate, gain, crc_rate",0.9797,0.9795,0.9794,0.9795,0.9794,0.002,0.0435,0.9488,7.0762,45.3577,53.3827
response,WFI-XGB,rem_4,RF,micro,8,"rate, pump, gain, crc_rate",0.9779,0.9771,0.9771,0.9771,0.9771,0.0014,0.0454,0.9488,7.0762,34.6663,42.6913
response,WFI-XGB,rem_4,RF,weighted,8,"rate, pump, gain, crc_rate",0.9776,0.9771,0.977,0.9771,0.9769,0.0014,0.0454,0.9488,7.0762,48.9803,57.0053
response,WFI-XGB,rem_5,RF,micro,7,"pump, solenoid, crc_rate, rate, gain",0.9786,0.9761,0.9761,0.9761,0.9761,0.0015,0.0486,0.9488,7.0762,39.1291,47.1542
response,WFI-XGB,rem_5,RF,weighted,7,"pump, solenoid, crc_rate, rate, gain",0.9784,0.9761,0.9759,0.9761,0.9759,0.0015,0.0486,0.9488,7.0762,40.0312,48.0563
response,WFI-XGB,rem_6,RF,micro,6,"pump, control_scheme, solenoid, crc_rate, rate, gain",0.978,0.9757,0.9757,0.9757,0.9757,0.0015,0.0473,0.9488,7.0762,47.9807,56.0058
response,WFI-XGB,rem_6,RF,weighted,6,"pump, control_scheme, solenoid, crc_rate, rate, gain",0.9778,0.9757,0.9755,0.9757,0.9755,0.0015,0.0473,0.9488,7.0762,45.3499,53.3749
response,WFI-XGB,rem_7,RF,micro,5,"pump, deadband, control_scheme, solenoid, crc_rate, rate, gain",0.9724,0.9703,0.9703,0.9703,0.9703,0.0023,0.0575,0.9488,7.0762,39.513,47.538
response,WFI-XGB,rem_7,RF,weighted,5,"pump, deadband, control_scheme, solenoid, crc_rate, rate, gain",0.9722,0.9703,0.97,0.9703,0.97,0.0023,0.0575,0.9488,7.0762,40.589,48.614
response,WFI-XGB,rem_8,RF,micro,4,"pump, deadband, control_scheme, solenoid, crc_rate, reset_rate, rate, gain",0.9653,0.9595,0.9595,0.9595,0.9595,0.003,0.0645,0.9488,7.0762,38.4984,46.5235
response,WFI-XGB,rem_8,RF,weighted,4,"pump, deadband, control_scheme, solenoid, crc_rate, reset_rate, rate, gain",0.9649,0.9595,0.959,0.9595,0.9592,0.003,0.0645,0.9488,7.0762,40.9526,48.9776
response,WFI-XGB,rem_9,RF,micro,3,"pump, deadband, control_scheme, solenoid, crc_rate, cycle_time, reset_rate, rate, gain",0.9508,0.9465,0.9465,0.9465,0.9465,0.0048,0.0722,0.9488,7.0762,33.2753,41.3004
response,WFI-XGB,rem_9,RF,weighted,3,"pump, deadband, control_scheme, solenoid, crc_rate, cycle_time, reset_rate, rate, gain",0.9502,0.9465,0.9464,0.9465,0.9463,0.0048,0.0722,0.9488,7.0762,31.9576,39.9826
response,WFI-XGB,rem_10,RF,micro,2,"pump, deadband, setpoint, control_scheme, solenoid, crc_rate, cycle_time, reset_rate, rate, gain",0.8851,0.8824,0.8824,0.8824,0.8824,0.0049,0.1182,0.9488,7.0762,45.7403,53.7653
response,WFI-XGB,rem_10,RF,weighted,2,"pump, deadband, setpoint, control_scheme, solenoid, crc_rate, cycle_time, reset_rate, rate, gain",0.8813,0.8824,0.8901,0.8824,0.8784,0.0049,0.1182,0.9488,7.0762,38.1102,46.1352
response,WFI-XGB,rem_11,RF,micro,1,"system_mode, pump, deadband, setpoint, control_scheme, solenoid, crc_rate, cycle_time, reset_rate, rate, gain",0.893,0.8893,0.8893,0.8893,0.8893,0.0023,0.1003,0.9488,7.0762,42.0228,50.0479
response,WFI-XGB,rem_11,RF,weighted,1,"system_mode, pump, deadband, setpoint, control_scheme, solenoid, crc_rate, cycle_time, reset_rate, rate, gain",0.8899,0.8893,0.8975,0.8893,0.8855,0.0023,0.1003,0.9488,7.0762,45.4627,53.4878
