Input File,Rank Method,Feature Selection,Model Type,Average Type,Number of Features,Removed Features,Best K-Fold F1 Score,Accuracy,Precision,Recall,F1 Score,FPR,FNR,Ranking Time,Feature Selection Time,Evaluation Time,Total Time
response,WFI-RF,rem_7,XGB,micro,5,"system_mode, pump, control_scheme, solenoid, cycle_time, rate, gain",0.9548,0.9512,0.9512,0.9512,0.9512,0.0016,0.1093,7.9243,1.4842,8.3119,17.7205
response,WFI-RF,rem_7,XGB,weighted,5,"system_mode, pump, control_scheme, solenoid, cycle_time, rate, gain",0.9537,0.9512,0.9505,0.9512,0.9501,0.0016,0.1093,7.9243,1.4842,7.7014,17.11
response,WFI-RF,rem_8,XGB,micro,4,"system_mode, pump, control_scheme, solenoid, crc_rate, cycle_time, rate, gain",0.9579,0.9562,0.9562,0.9562,0.9562,0.0012,0.1035,7.9243,1.4842,7.1319,16.5405
response,WFI-RF,rem_8,XGB,weighted,4,"system_mode, pump, control_scheme, solenoid, crc_rate, cycle_time, rate, gain",0.9568,0.9562,0.9558,0.9562,0.9552,0.0012,0.1035,7.9243,1.4842,7.1319,16.5404
response,WFI-RF,rem_9,XGB,micro,3,"system_mode, pump, deadband, control_scheme, solenoid, crc_rate, cycle_time, rate, gain",0.9517,0.9485,0.9485,0.9485,0.9485,0.0008,0.1169,7.9243,1.4842,7.6835,17.0921
response,WFI-RF,rem_9,XGB,weighted,3,"system_mode, pump, deadband, control_scheme, solenoid, crc_rate, cycle_time, rate, gain",0.9504,0.9485,0.9475,0.9485,0.9471,0.0008,0.1169,7.9243,1.4842,6.9002,16.3088
response,WFI-RF,rem_10,XGB,micro,2,"system_mode, pump, deadband, control_scheme, solenoid, crc_rate, cycle_time, reset_rate, rate, gain",0.9168,0.9168,0.9168,0.9168,0.9168,0.001,0.145,7.9243,1.4842,6.4126,15.8211
response,WFI-RF,rem_10,XGB,weighted,2,"system_mode, pump, deadband, control_scheme, solenoid, crc_rate, cycle_time, reset_rate, rate, gain",0.9132,0.9148,0.9111,0.9148,0.9115,0.0016,0.1431,7.9243,1.4842,6.494,15.9026
response,WFI-RF,rem_11,XGB,micro,1,"system_mode, pump, deadband, setpoint, control_scheme, solenoid, crc_rate, cycle_time, reset_rate, rate, gain",0.8536,0.8487,0.8487,0.8487,0.8487,0,0.2351,7.9243,1.4842,5.8839,15.2924
response,WFI-RF,rem_11,XGB,weighted,1,"system_mode, pump, deadband, setpoint, control_scheme, solenoid, crc_rate, cycle_time, reset_rate, rate, gain",0.8415,0.8487,0.8418,0.8487,0.8353,0,0.2351,7.9243,1.4842,6.857,16.2655
response,WFI-RF,RFE,RF,micro,11,crc_rate,0.9817,0.9806,0.9806,0.9806,0.9806,0.0016,0.0358,7.9243,85.5844,51.7054,145.2141
response,WFI-RF,RFE,RF,weighted,11,crc_rate,0.9815,0.9806,0.9805,0.9806,0.9805,0.0016,0.0358,7.9243,85.5844,50.667,144.1757
response,WFI-RF,SPFS,RF,micro,12,,0.9768,0.9768,0.9768,0.9768,0.9768,0.001,0.0633,7.9243,79.5022,63.2458,150.6723
response,WFI-RF,SPFS,RF,weighted,12,,0.9765,0.9768,0.9767,0.9768,0.9765,0.001,0.0633,7.9243,79.5022,62.6668,150.0934
response,WFI-RF,None,RF,micro,12,,0.9769,0.9766,0.9766,0.9766,0.9766,0.001,0.0633,7.9243,7.0032,61.4841,76.4117
